dataset,label_type,model,cv_mode,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
AMRB2,species,resnet,k-fold,5,100,0.428595112,0.713733452,0.908841895,0.73655765,0.985815316,0.922540958,0.998592889,0.977126447
AMRB2,species,resnet,k-fold,6,1,0.578980529,0.959092911,0.783757199,0.615738174,0.948616373,0.835204176,0.994050094,0.975040034
AMRB2,species,resnet,k-fold,6,9,0.514830101,0.925370381,0.832095614,0.616046132,0.966962718,0.804385317,0.996958637,0.970197401
AMRB2,species,resnet,k-fold,6,99,0.434896909,1.023732683,0.901569574,0.604474624,0.985455357,0.825911555,0.998592889,0.941049212
AMRB2,species,resnet,k-fold,6,100,0.434708288,1.017055801,0.901792864,0.609340355,0.985310989,0.823324711,0.998644861,0.941403363
AMRB2,species,resnet,k-fold,7,6,0.514904941,0.826970086,0.830877144,0.674265521,0.96813499,0.872482446,0.997118405,0.98939086
AMRB2,species,resnet,k-fold,7,24,0.473238164,0.787169855,0.864896132,0.699749015,0.978593043,0.876532089,0.998311851,0.977018662
AMRB2,species,resnet,k-fold,7,30,0.465350234,0.791000498,0.872147279,0.699479552,0.980338939,0.887410692,0.998329176,0.978943397
AMRB2,species,resnet,k-fold,7,31,0.464376087,0.785929179,0.872543811,0.699618133,0.980367812,0.878549212,0.998340725,0.975209411
AMRB2,species,resnet,k-fold,7,93,0.428347665,0.868167029,0.906010348,0.67900037,0.987449567,0.871011949,0.998954772,0.961081855
AMRB2,species,resnet,k-fold,7,98,0.427113578,0.876466368,0.907094074,0.678530734,0.987590086,0.862697093,0.998943223,0.950049273
AMRB2,species,resnet,k-fold,7,100,0.426254336,0.868523565,0.907933336,0.676844666,0.987468816,0.869595344,0.9989028,0.957740515
AMRB2,species,resnet,k-fold,8,1,0.558231121,1.07071077,0.800719532,0.54767184,0.958789538,0.786007945,0.995513028,0.943397389
AMRB2,species,resnet,k-fold,8,14,0.482459081,1.091331837,0.856959715,0.564186068,0.977287952,0.797156011,0.998215606,0.938962799
AMRB2,species,resnet,k-fold,8,82,0.424540657,1.159376792,0.90818165,0.561252772,0.988358126,0.797872013,0.999049093,0.911385193
AMRB2,species,resnet,k-fold,8,97,0.419905301,1.223062753,0.912418384,0.560883222,0.989068419,0.779332964,0.99911069,0.887841833
AMRB2,species,resnet,k-fold,8,99,0.419152435,1.182036746,0.913190274,0.557526484,0.989432228,0.792351872,0.999085666,0.901800012
AMRB2,species,resnet,k-fold,8,100,0.418829976,1.222162192,0.913863993,0.552722345,0.989287859,0.789849717,0.999097216,0.903493779
AMRB2,species,resnet,k-fold,9,1,0.541218789,0.94848741,0.812559672,0.591286339,0.964317888,0.833333333,0.996080877,0.962952698
AMRB2,species,resnet,k-fold,9,48,0.427743738,1.006731391,0.90166582,0.594265829,0.989016446,0.839892831,0.999041393,0.942350333
AMRB2,species,resnet,k-fold,9,85,0.409972551,1.069283318,0.918318242,0.592849224,0.991520758,0.828282828,0.999262758,0.928230475
AMRB2,species,resnet,k-fold,9,96,0.406773315,1.050605149,0.921490499,0.603596945,0.991982737,0.831008253,0.999199236,0.925720621
AMRB2,species,resnet,k-fold,9,98,0.406427792,1.063409648,0.922154594,0.598307773,0.992032785,0.827697709,0.999210786,0.923872875
AMRB2,species,resnet,k-fold,9,99,0.406080336,1.037772536,0.922233515,0.601110187,0.992032785,0.836104952,0.999230035,0.931479428
AMRB2,species,resnet,k-fold,9,100,0.405892492,1.052067457,0.922089147,0.600224809,0.991846069,0.830754188,0.999247359,0.924288618
AMRB2,species,resnet,leave-out,0,1,0.355280369,1.135334177,0.914775667,0.403257766,0.993645338,0.707624279,1,1
AMRB2,species,resnet,leave-out,0,14,0.308134993,1.10487637,0.948671989,0.548159858,0.997478667,0.804453931,1,1
AMRB2,species,resnet,leave-out,0,91,0.269421545,1.255289595,0.981650528,0.486122443,0.999293698,0.777194184,1,1
AMRB2,species,resnet,leave-out,0,98,0.268056443,1.263160555,0.982818801,0.493152282,0.999215677,0.771876275,1,1
AMRB2,species,resnet,leave-out,0,100,0.268029248,1.27438117,0.98272846,0.480229034,0.999260847,0.773777609,1,1
AMRB2,species,resnet,leave-out,1,1,0.401540969,1.064915657,0.874514418,0.497332835,0.990243181,0.809570787,1,1
AMRB2,species,resnet,leave-out,1,8,0.356692516,1.065249859,0.908737198,0.508353827,0.994827983,0.869312456,1,1
AMRB2,species,resnet,leave-out,1,98,0.291884582,1.324111255,0.966142689,0.486607803,0.998644886,0.81542657,1,1
AMRB2,species,resnet,leave-out,1,100,0.291568295,1.267616599,0.966315158,0.497058015,0.998638727,0.809126847,1,1
AMRB2,species,resnet,leave-out,2,1,0.402024363,1.223983012,0.870505693,0.40940564,0.988894448,0.899430224,1,1
AMRB2,species,resnet,leave-out,2,16,0.339410746,1.090241039,0.918343187,0.455652928,0.995858907,0.908384671,1,1
AMRB2,species,resnet,leave-out,2,98,0.291552862,1.520657513,0.964729067,0.338036153,0.998849044,0.788378886,1,1
AMRB2,species,resnet,leave-out,2,100,0.291128393,1.45047961,0.964921676,0.354724512,0.998818508,0.814559653,1,1
AMRB2,species,resnet,leave-out,3,1,0.522995463,0.626778522,0.778967462,0.935841526,0.96608725,0.996920196,1,1
AMRB2,species,resnet,leave-out,3,3,0.491427319,0.647111885,0.80311786,0.941311257,0.972984334,0.997536157,1,1
AMRB2,species,resnet,leave-out,3,8,0.466947946,0.681296564,0.822048686,0.481853796,0.978111352,0.998497056,1,1
AMRB2,species,resnet,leave-out,3,98,0.386497433,0.942633464,0.896715353,0.398699091,0.991176669,0.985906817,1,1
AMRB2,species,resnet,leave-out,3,99,0.385978774,0.967878726,0.897750783,0.387266859,0.991124608,0.979131249,1,1
AMRB2,species,resnet,leave-out,3,100,0.385665946,0.996125614,0.897307303,0.355360091,0.991060979,0.981693646,1,1
AMRB2,strain,drcaps,k-fold,0,58,0.276270271,0.330575916,0.490745447,0.396249687,0.689469589,0.611671067,0.798566827,0.738547669
